id,headline,kicker,teaser,url,topic
2,Berliner ÖPNV: Was tatsächlich rund um Pfefferspray gilt,FAKTENCHECK,Eine Verordnung des Berliner Senats soll angeblich seit 17. Juli 2025 Pfefferspray im Nahverkehr verbieten. Doch an den Regeln ändert sich kaum etwas.,https://correctiv.org/faktencheck/2025/08/01/berliner-oepnv-was-tatsaechlich-rund-um-pfefferspray-gilt-auf1-waffenverbot/,Kriminalität & Sicherheit
3,Hunderte nagelneue Audi verschrottet? Was hinter diesem viralen Video steckt,FAKTENCHECK,"Zu einem Video mit hunderten, angeblich zur Verschrottung aussortierten Audi-Fahrzeugen kursieren online verschiedene Mutmaßungen: Grund seien Sanktionen gegen Russland oder, dass der Hersteller die Preise nicht senken wolle. Was über das Video bekannt ist.",https://correctiv.org/faktencheck/2025/07/31/hunderte-nagelneue-audi-verschrottet-was-hinter-diesem-viralen-video-steckt/,Wirtschaft & Soziales
4,"Zahlen, die einen extremen Anstieg von Gewalttaten durch Zuwanderer zeigen sollen, sind falsch",FAKTENCHECK,"In Sozialen Netzwerken werden Daten aus der Polizeilichen Kriminalstatistik verbreitet. Eine Liste soll angeblich zeigen, dass es seit 2014 immer mehr Morde, Vergewaltigungen und Körperverletzungen in Deutschland gebe. Doch die Angaben sind irreführend, ein Teil davon ist sogar erfunden. Der Faktencheck zeigt, wie die Zahlen verdreht wurden.",https://correctiv.org/faktencheck/2025/07/30/zahlen-die-einen-extremen-anstieg-von-gewalttaten-durch-zuwanderer-zeigen-sollen-sind-falsch/,Migration & Asyl
5,Wie ein sächsischer AfD-Politiker ohne Belege Stimmung gegen queere Geflüchtete macht,FAKTENCHECK,"Ein sächsischer AfD-Politiker behauptet, „Whirlpool-Veranstaltungen“ queerer Afghanen seien mit 68.000 Euro aus Steuermitteln gefördert worden. Doch die Summe ist nirgends zu finden.",https://correctiv.org/faktencheck/2025/07/25/wie-ein-saechsischer-afd-politiker-ohne-belege-stimmung-gegen-queere-gefluechtete-macht/,Migration & Asyl
6,"ÖPNV in Essen: Diese Betrugsmasche steckt hinter dem Sechs-Monats-Ticket für 2,35 Euro",FAKTENCHECK,"Eine Fahrkarte für sechs Monate, die nur 2,35 Euro kosten soll: Dafür wirbt ein Facebook-Beitrag der Seite „ÖPNV Essen“. Hinter dem angeblichen Angebot steckt eine internationale Betrugsmasche, bei der es um Datendiebstahl geht.",https://correctiv.org/faktencheck/2025/07/24/essen-angebot-zu-angeblichem-vrr-jubilaeum-ist-gefaelscht/,Verbraucherthemen
7,"Fahrkarten für 2,35 Euro in Aachen? Warum diese Facebook-Anzeige nicht seriös ist",FAKTENCHECK,"Ein Facebook-Beitrag wirbt für eine Fahrkarte für nur 2,35 Euro, die sechs Monate in Aachen und Umgebung gelten soll. Das Angebot ist ein Trick, dahinter steckt eine internationale Betrugsmasche.",https://correctiv.org/faktencheck/2025/07/24/fahrkarten-fuer-235-euro-in-aachen-warum-diese-facebook-anzeige-nicht-serioes-ist/,Verbraucherthemen
8,Bürgergeld: Erneut führen Grafiken zum Bezug von Geflüchteten in die Irre,FAKTENCHECK,"Immer wieder wird mit Grafiken zum Bürgergeld Stimmung gegen Geflüchtete gemacht. Aktuell kursieren Darstellungen, die ähnlich schon 2023 in Umlauf waren und Nutzerinnen und Nutzer in die Irre führen.",https://correctiv.org/faktencheck/gesellschaft/2025/07/24/buergergeld-erneut-fuehren-grafiken-zum-bezug-von-gefluechteten-in-die-irre/,Migration & Asyl
9,Berlin: Facebook-Seite greift im Namen der BVG Kontodaten ab,FAKTENCHECK,"Sechs Monate VBB-Umweltkarte für 2,35 Euro? Dieses angebliche Angebot der BVG klingt zu schön, um wahr zu sein, und das ist es auch. Wer seine Zahlungsdaten eingibt, wird Opfer einer internationalen Betrugsmasche.",https://correctiv.org/faktencheck/2025/07/22/berlin-facebook-seite-greift-im-namen-der-bvg-kontodaten-ab/,Kriminalität & Sicherheit
10,"Bus und Bahn in Chemnitz: Hinter angeblicher 6-Monat-Karte für 2,35 Euro steckt Phishing",FAKTENCHECK,"Eine Facebook-Seite wirbt für ein Nahverkehrsticket in Chemnitz, die Anzeige richtet sich an Menschen vor Ort. Es gebe 500 Karten zu je sechs Monaten für 2,35 Euro. Die Karten gibt es nicht, dahinter steckt Betrug.",https://correctiv.org/faktencheck/2025/07/22/bus-und-bahn-in-chemnitz-hinter-angeblicher-6-monat-karte-fuer-235-euro-steckt-phishing/,Verbraucherthemen
11,"Nur ein Kreisverband hat Insolvenz angemeldet, nicht das gesamte Deutsche Rote Kreuz",FAKTENCHECK,"Das Deutsche Rote Kreuz soll insolvent sein. So wird es in Sozialen Netzwerken verbreitet. Das stimmt so nicht, lediglich ein Kreisverband in Niedersachsen hat Insolvenz angemeldet. Grundlage der Falschinformation ist eine Clickbait-Überschrift des Karlsruhe Insider.",https://correctiv.org/faktencheck/2025/07/18/nicht-gesamtes-deutsches-rotes-kreuz-insolvent-nur-ein-kreisverband/,Wirtschaft & Soziales
12,"Nein, die Rheinbahn verlost keine 6-Monats-Tickets für 2,35 Euro",FAKTENCHECK,"Ein Facebook-Beitrag wirbt mit „unbegrenzten Fahrten für nur 2,35 Euro“ mit der Rheinbahn in Düsseldorf. Dahinter steckt eine internationale Betrugsmasche, um an persönliche Daten und Kreditkarten-Informationen zu kommen.",https://correctiv.org/faktencheck/2025/07/17/nein-die-rheinbahn-verlost-keine-6-monats-tickets-fuer-235-euro/,Verbraucherthemen
13,Mit welchen Tricks Klimawandelleugner Steve Milloy Temperaturdaten aus den USA verdreht,FAKTENCHECK,"Klimawandelleugner Steve Milloy behauptet, in den USA habe es seit 2012 keine „globale Erwärmung“ gegeben. Das soll eine Grafik der US-Wetterbehörde NOAA belegen. Warum das nicht stimmt, erklären wir im Faktencheck.",https://correctiv.org/faktencheck/2025/07/17/mit-welchen-tricks-klimawandelleugner-steve-milloy-temperaturdaten-aus-den-usa-verdreht/,Umwelt & Klima
14,Tiktok-Video zeigt keinen aktuellen Tornado in Deutschland,FAKTENCHECK,"Ein Tiktok-Video vom 2. Juli soll einen Tornado zeigen, der über Deutschland hinwegfegt. Unser Faktencheck zeigt: Das Videomaterial ist mindestens zwei Jahre alt.",https://correctiv.org/faktencheck/2025/07/09/tiktok-video-zeigt-keinen-aktuellen-tornado-in-deutschland/,Umwelt & Klima
15,Entwicklung der Eismassen in Antarktis und Arktis stellt Klimawandel nicht infrage,FAKTENCHECK,"Gute Nachrichten aus der Klimaforschung? Der ehemalige Hamburger Umweltsenator Fritz Vahrenholt behauptet, das Festland-Eis in der Antarktis am Südpol wachse und der Rückgang des arktischen Meereises am Nordpol sei gestoppt. Dass aber die Eisschilde insgesamt zurückgehen, lässt er aus. Ein Faktencheck.",https://correctiv.org/faktencheck/2025/07/02/eis-antarktis-arktis-waechst-teilweise-insgesamt-geht-es-zurueck-suedpol-nordpol-klimawandel/,Umwelt & Klima
16,KI-Videos auf Tiktok verbreiten Fake zu angeblichem „internationalen“ Soli-Zuschlag,FAKTENCHECK,"In mehreren Videos auf Tiktok wird behauptet, ab August 2025 werde in Deutschland ein Solidaritätszuschlag erhoben. Damit sollten von Krieg betroffene Länder wie die Ukraine, Israel oder der Iran unterstützt werden, heißt es in den Beiträgen, die KI-generierte Bilder von Friedrich Merz nutzen. Doch die vermeintliche Nachricht ist ausgedacht.",https://correctiv.org/faktencheck/2025/06/30/ki-videos-auf-tiktok-verbreiten-fake-zu-angeblichem-internationalen-soli-zuschlag/,Wirtschaft & Soziales
17,"Nein, Regierung und Kanzler wollen keine Pflicht zur Wohnraumteilung mit Geflüchteten",FAKTENCHECK,"In Beiträgen auf Telegram und X heißt es, Menschen sollten verpflichtet werden, den eigenen Wohnraum mit Geflüchteten zu teilen. Doch ein vermeintliches Zitat dazu von Friedrich Merz ist nicht echt und die Regierung plant nichts derartiges. Hinter der Nachricht steckt ein bekannter Desinformations-Kanal.",https://correctiv.org/faktencheck/2025/06/27/nein-regierung-und-kanzler-wollen-keine-pflicht-zur-wohnraumteilung-mit-gefluechteten/,Migration & Asyl
18,"Nein, der Birchgletscher stürzte nicht auf Blatten, weil er zu schwer war",FAKTENCHECK,"Im Netz heißt es, der Gletscher, der Ende Mai 2025 auf das Schweizer Dorf Blatten stürzte, sei seinem eigenen Wachstum zum Opfer gefallen. Doch das ist falsch. Der Gletscher schrumpft seit Jahren. Forscher vermuten, dass ein Felssturz dafür verantwortlich war, dass der Gletscher schließlich ins Tal stürzte. Ein Zusammenhang mit dem Klimawandel gilt als wahrscheinlich.",https://correctiv.org/faktencheck/2025/06/27/faktencheck-gletscherabbruch-in-der-schweiz-warum-der-birchgletscher-auf-blatten-stuerzte/,Umwelt & Klima
19,"Nein, diese Aufnahmen zeigen nicht, wie Menschen im Iran israelische Angriffe feiern",FAKTENCHECK,"Durch israelische Angriffe auf den Iran wurden dort hunderte Menschen getötet. Mehrere Aufnahmen in Sozialen Netzwerken sollen zeigen, wie die Menschen im Iran diese Angriffe feiern. Doch die Videos zeigen nicht, was behauptet wird.",https://correctiv.org/faktencheck/2025/06/25/nein-diese-aufnahmen-zeigen-nicht-wie-menschen-im-iran-israelische-angriffe-feiern/,Krieg & Konflikte
20,"Nein, Giorgia Meloni hat keine Zusammenarbeit mit der AfD verkündet",EUROPA,"Seit Ende Mai heißt es in Youtube-Videos, Italiens Ministerpräsidentin Giorgia Meloni habe eine Zusammenarbeit mit der AfD verkündet. Doch hinter der Behauptung stecken dubiose Youtube-Kanäle. Meloni sprach in Zusammenhang mit der AfD von „unüberbrückbaren Differenzen“.",https://correctiv.org/faktencheck/2025/06/24/nein-giorgia-meloni-hat-keine-zusammenarbeit-mit-der-afd-verkuendet/,Politik & Regierung
21,Nach US-Angriff auf Atomanlage Fordo kursiert online falsches Bildmaterial,FAKTENCHECK,Ein Video in Sozialen Netzwerken soll eine Explosion der iranischen Atomanlage Fordo nach dem US-Angriff im Juni 2025 zeigen. Doch die Aufnahme ist monatealt und in Syrien entstanden.,https://correctiv.org/faktencheck/2025/06/23/nach-us-angriff-auf-atomanlage-fordo-kurisert-online-falsches-bildmaterial/,Krieg & Konflikte
22,Ukraine-Krieg: Video von sich bewegender „Leiche“ beweist keine Inszenierung,FAKTENCHECK,"Ein Video, in dem sich eine vermeintliche Leiche bewegt, soll beweisen, dass in der Ukraine Kriegsopfer für Fernsehberichte inszeniert werden. Der Hintergrund des Videos ist jedoch ein ganz anderer.",https://correctiv.org/faktencheck/2025/06/23/ukraine-krieg-video-von-sich-bewegender-leiche-beweist-keine-inszenierung/,Krieg & Konflikte
23,Angriff der Ukraine auf russische Flugzeuge: KI-Video hat nichts mit „Operation Spiderweb“ zu tun,FAKTENCHECK,"Anfang Juni griff die Ukraine mit Drohnen Militär-Flugplätze in Russland an. Neben authentischen Aufnahmen kursiert in Sozialen Netzwerken auch eine Aufnahme, die künstlich erstellt wurde. Einige erkannten das nicht.",https://correctiv.org/faktencheck/2025/06/19/ukraine-russland-angriff-flugzeuge-in-ki-video-haben-nichts-mit-operation-spiderweb-zu-tun/,Krieg & Konflikte
24,Stichwahl in Rumänien: Simion macht unbelegte Behauptung zu „Millionen Toten“ im Wählerverzeichnis,FAKTENCHECK,"Die Namen von Millionen Toten sollen in den Wählerverzeichnissen gestanden haben, behauptet der bei der rumänischen Präsidentschaftswahl unterlegene George Simion. Tausende Beweise will er haben. Die liefert er jedoch nicht und auch die Wahlbehörde in Rumänien hat von seiner angeblichen Mitteilung dazu an die Behörde nie gehört.",https://correctiv.org/faktencheck/2025/06/18/stichwahl-in-rumaenien-simion-macht-unbelegte-behauptung-zu-millionen-toten-im-waehlerverzeichnis/,Demokratie & Wahlen
25,Israel-Iran-Konflikt: Video von zerstörtem Flughafen in Tel Aviv ist KI-generiert,FAKTENCHECK,"International geht ein Video viral, das einen zerstörten Flughafen in Tel Aviv nach der Eskalation des militärischen Konfliktes mit dem Iran zeigen soll. Woran zu erkennen ist, dass es sich um ein KI-Fake handelt, erklären wir im Faktencheck.",https://correctiv.org/faktencheck/2025/06/17/israel-iran-konflikt-video-von-zerstoertem-flughafen-in-tel-aviv-ist-ki-generiert/,Krieg & Konflikte
26,"Nach Messerangriff in Bielefeld: Nein, der Verdächtige hatte keine acht Identitäten",FAKTENCHECK,"Ein Syrer, der im Mai mutmaßlich vier Menschen in Bielefeld mit einem Messer angegriffen hat, soll angeblich acht Identitäten haben, mit denen er mehrfach Bürgergeld bezog. Das stimmt nicht.",https://correctiv.org/faktencheck/2025/06/17/nach-messerangriff-in-bielefeld-nein-der-verdaechtige-hatte-keine-acht-identitaeten/,Migration & Asyl
27,Video von iranischem Raketenangriff auf Israel ist schon Monate alt,FAKTENCHECK,"Ein Video soll zeigen, wie vor wenigen Tagen iranische Raketen auf Tel Aviv niedergehen. Das Video ist echt – aber schon von Oktober 2024.",https://correctiv.org/faktencheck/2025/06/17/video-von-iranischem-raketenangriff-auf-israel-ist-schon-monate-alt/,Krieg & Konflikte
28,Proteste in Los Angeles: Video von brennenden Polizeiwagen ist fünf Jahre alt,FAKTENCHECK,"In Los Angeles protestieren tausende Menschen gegen Donald Trumps Migrationspolitik. Online kursieren Videos und Fotos der Proteste, doch nicht alle Aufnahmen sind authentisch. So etwa ein Video von brennenden Polizeiwagen, das ein Berliner AfD-Abgeordneter und der Verschwörungssender Auf1 verbreiteten.",https://correctiv.org/faktencheck/2025/06/16/proteste-in-los-angeles-video-von-brennenden-polizeiwagen-ist-fuenf-jahre-alt/,Migration & Asyl
29,Gletscherschmelze und Starkregen: Begünstigt der Klimawandel Erdbeben?,FAKTENCHECK,"Angeblich beeinflusst der Klimawandel, wie häufig es Erdbeben gibt. Das stimmt so nicht, aber Zusammenhänge gibt es dennoch. Wir erklären, was Starkregen und Gletscherschmelze durch den Klimawandel für die Häufigkeit von Erdbeben bedeuten.",https://correctiv.org/faktencheck/2025/06/13/gletscherschmelze-und-starkregen-beguenstigt-der-klimawandel-erdbeben/,Umwelt & Klima
30,"Covid-19: Nein, die EU hat den Astrazeneca-Impfstoff nicht verboten",FAKTENCHECK,"Im Netz heißt es, dass der Covid-19-Impfstoff von Astrazeneca in Europa verboten wurde und der Konzern zugeben musste, dass der Impfstoff „gefährlich“ sei. Doch das Ende der Zulassung wurde vom Hersteller selbst beantragt.",https://correctiv.org/faktencheck/2025/06/12/covid-19-nein-die-eu-hat-den-astrazeneca-impfstoff-nicht-verboten/,Gesundheit
31,Koalitionspläne zu Totalsanktionen beim Bürgergeld sind rechtlich umstritten,POLITIK,"In ihrem Koalitionsvertrag forderte die neue Regierung für Arbeitslose, die mehrfach eine Arbeit ablehnen, einen vollständigen Leistungsentzug. Und das obwohl das Verfassungsgericht solche Sanktionen bereits 2019 einschränkte. Sind die Pläne der Koalition rechtmäßig?",https://correctiv.org/faktencheck/hintergrund/2025/06/11/koalitionsplaene-zu-totalsanktionen-beim-buergergeld-sind-rechtlich-umstritten/,Wirtschaft & Soziales
32,Amoklauf an Schule: Video mit „Allahu Akbar“-Rufen zeigt nicht Angriff in Graz,FAKTENCHECK,"Nach einem Amoklauf an einer österreichischen Schule kursieren online auch Videos im falschen Kontext. Worauf in Krisensituationen zu achten ist, wenn man Inhalte teilt.",https://correctiv.org/faktencheck/polizei/2025/06/10/mutmasslicher-amoklauf-an-schule-video-mit-allahu-akbar-rufen-zeigt-nicht-angriff-in-graz/,Kriminalität & Sicherheit
33,Zurückweisungen an der Grenze: Was sagen Fachleute zu Dobrindts Aussagen?,POLITIK,"Innenminister Alexander Dobrindt ordnete im Mai an, dass Asylsuchende an der deutschen Grenze zurückgewiesen werden sollen. Das Berliner Verwaltungsgericht urteilte nun in drei Fällen, dass das nicht rechtmäßig ist. Dobrindt will dennoch an der Maßnahme festhalten. Seine Aussagen zu dem Beschluss sind jedoch fragwürdig.",https://correctiv.org/faktencheck/hintergrund/2025/06/03/zurueckweisungen-an-der-grenze-was-sagen-fachleute-zu-dobrindts-aussagen/,Migration & Asyl
34,Wie mit einem KI-Bild Stimmung gegen den „Helden von Hamburg“ gemacht wird,FAKTENCHECK,"Nach dem Messerangriff im Hamburger Hauptbahnhof am 23. Mai 2025 kursiert online ein KI-Foto des Mannes, der die mutmaßliche Täterin gemeinsam mit einem anderen Mann überwältigt haben soll. Die Behauptung dahinter: Medien hätten sich den syrischen „Held von Hamburg“ ausgedacht. Warum das nicht stimmt.",https://correctiv.org/faktencheck/2025/05/28/messerangriff-hamburg-was-hinter-ki-bild-vom-held-von-hamburg-steckt/,Migration & Asyl
35,Messerangriff in Hamburg: Verdächtige in Niedersachsen geboren,FAKTENCHECK,"Die Frau, die mutmaßlich am Hamburger Hauptbahnhof auf Passanten einstach, soll angeblich eine 2016 zugewanderte Palästinenserin sein – das wird in Beiträgen auf X und Facebook behauptet. Doch das stimmt nicht. Laut Angaben des zuständigen Innenministeriums wurde sie in Niedersachsen geboren.",https://correctiv.org/faktencheck/2025/05/27/messerangriff-in-hamburg-nein-die-verdaechtige-ist-keine-zugewanderte-palaestinenserin/,Kriminalität & Sicherheit
36,US-Verbot für Taurus-Lieferung an Ukraine? Russischer Propaganda-Blog verbreitet unbelegte Behauptung,FAKTENCHECK,"Ob Deutschland die Ukraine mit Taurus-Marschflugkörpern unterstützen soll, wurde immer wieder diskutiert. Online heißt es, die USA hätten Deutschland Ende April eine Lieferung verboten. Doch hinter der Behauptung, die auch von AfD-Politikern verbreitet wurde, steckt ein russischer Propaganda-Blog – Belege gibt es dafür keine.",https://correctiv.org/faktencheck/2025/05/27/us-verbot-fuer-deutschland-taurus-lieferung-an-ukraine-unbelegt-russische-propaganda-topwar/,Krieg & Konflikte
37,"Nein, Annalena Baerbock hat Ende Mai 2025 keine Absage für neuen UN-Job erhalten",FAKTENCHECK,"Laut Beiträgen in Sozialen Netzwerken soll Ex-Außenministerin Annalena Baerbock als „UN-Chefin“ abgelehnt worden sein. Doch das stimmt nicht, die offizielle Wahl ist noch nicht erfolgt.",https://correctiv.org/faktencheck/2025/05/27/nein-annalena-baerbock-hat-ende-mai-2025-keine-absage-fuer-neuen-un-job-erhalten/,Politik & Regierung
38,"Stichwahl in Rumänien: Kein „wundersamer Zuwachs“, aber höhere Wahlbeteiligung",FAKTENCHECK,"Nach dem zweiten Wahlgang der Präsidentschaftswahl in Rumänien kursiert online das Gerücht, der hohe Stimmenzuwachs für den pro-europäischen Wahlsieger Nicușor Dan sei „wundersam“. Dabei wird missachtet, dass die Wahlbeteiligung stieg.",https://correctiv.org/faktencheck/2025/05/22/stichwahl-in-rumaenien-kein-wundersamer-zuwachs-aber-hohe-wahlbeteiligung/,Demokratie & Wahlen
39,Kein Bezug zu AfD-Gutachten: Verfassungsschutzchef Haldenwang ging Ende 2024 in den Ruhestand,FAKTENCHECK,"Nachdem der Verfassungsschutz die AfD als gesichert rechtsextrem eingestuft hat, kursiert in Sozialen Netzwerken ein Video, laut dem der Verfassungsschutzchef entlassen worden sei. Doch Thomas Haldenwang schied schon vor Monaten aus dem Amt.",https://correctiv.org/faktencheck/2025/05/20/entlassung-von-verfassungsschutz-thomas-haldenwang-kein-bezug-zu-afd-gutachten-oder-friedrich-merz/,Politik & Regierung
40,"Doch, der Meeresspiegel in Venedig steigt",FAKTENCHECK,"AfD-Politiker Miguel Klauß behauptet, der Meeresspiegel in Venedig habe sich seit über 1.500 Jahren nicht verändert. Doch Messdaten zeigen: Der Meeresspiegel in Venedig steigt und die Stadt sinkt.",https://correctiv.org/faktencheck/2025/05/16/faktencheck-meeresspiegel-in-venedig-italien-steigt/,Umwelt & Klima
41,Russische Spione mit Pentagon-Kontakt im Handy? Keine Belege für angebliche Verhaftung,FAKTENCHECK,"US-Verteidigungsminister Pete Hegseth teilte Informationen zu Militärschlägen in einem Gruppenchat und sorgte so für einen Skandal. Wochen später heißt es auf X, zwei russische Spione mit Hegseths Nummer auf ihren Telefonen seien Ende April vom deutschen Geheimdienst festgenommen worden. Doch laut den zuständigen Behörden gibt es den Fall nicht.",https://correctiv.org/faktencheck/2025/05/15/russische-spione-mit-pentagon-kontakt-im-handy-keine-belege-fuer-angebliche-verhaftung/,Kriminalität & Sicherheit
